sentiment,review,review_length,rating,preprocessed_review,sentiment_encoded
positive,i wish would have gotten one earlier love it and it makes working in my laptop so much easier,19,5.0,wish would gotten one earlier love make working laptop much easier,2
neutral,i ve learned this lesson again open the package and use the product right away ordered this mouse in august as my travel mouse and just packed it away in my bag now ve been visiting family in the pnw since mid september the mouse took charge and worked fine for couple of weeks after recharged the mouse it worked for day or two and then ceased to function the optical light will flash once when turned on then nothing of course the return window is well past ,88,1.0,learned lesson open package use product right away ordered mouse august travel mouse packed away bag visiting family pnw since mid september mouse took charge worked fine couple week recharged mouse worked day two ceased function optical light flash turned nothing course return window well past,1
neutral,it is so slow and lags find better option,9,2.0,slow lag find better option,1
neutral,roller ball stopped working within months of minimal use piece of junk ,12,1.0,roller ball stopped working within month minimal use piece junk,1
neutral,i like the color and size but it few days out of the return period and it will not hold charge,21,1.0,like color size day return period hold charge,1
positive,overall love this mouse the size weight clicking is all fabulous however ve had two of these now and the middle scroller has randomly fallen in without rough use it wasn dropped literally was not even touching it the second time and heard it fall if you need to use the middle scroller lot do not recommend purchase if you don use that feature then it great mouse ,68,3.0,overall love mouse size weight clicking fabulous however two middle scroller randomly fallen without rough use dropped literally even touching second time heard fall need use middle scroller lot recommend purchase use feature great mouse,2
neutral,it stopped working,3,1.0,stopped working,1
positive,my son uses school issued chromebook for school work and hates using the touch pad to navigate the mouse so we looked into wireless mouse and found this one had so many good reviews unfortunately the scrolling wheel has already broken and he has only used it month since he only uses it for his school computer it mostly stayed stored safely in the carrying case he was not rough with it and it was stored carefully when not in use am really disappointed because he loved the color and paid for this with his own money earned helping his grandmother over the summer at campground there is an email on the bottom of the mouse that says lifetime replacement but have tried twice now to email them about it and it keeps bouncing back as undeliverable am sure this has been great product for many and we likely got the dud so am not telling anyone not to buy it but am sharing our experience for others to consider ,170,1.0,son us school issued chromebook school work hate using touch pad navigate mouse looked wireless mouse found one many good review unfortunately scrolling wheel already broken used month since us school computer mostly stayed stored safely carrying case rough stored carefully use really disappointed loved color paid money earned helping grandmother summer campground email bottom mouse say lifetime replacement tried twice email keep bouncing back undeliverable sure great product many likely got dud telling anyone buy sharing experience others consider,2
negative,loved this cute little mouse but it broke after months the wheel broke off from the gear ,17,1.0,loved cute little mouse broke month wheel broke gear,0
negative,should ve spent the money to get quality product this thing stopped working after about week worthless,17,1.0,spent money get quality product thing stopped working week worthless,0
neutral,beautifully produced and lovely to look at for mouse the lights are welcome addition to an otherwise drab workspace did notice that it tends to go into sleep mode quickly but takes longer wake up time than expect on screen busy with windows the cursor freezes in position until the mouse fully comes back to life it frustrating for anyone who isn patient ,63,3.0,beautifully produced lovely look mouse light welcome addition otherwise drab workspace notice tends go sleep mode quickly take longer wake time expect screen busy window cursor freeze position mouse fully come back life frustrating anyone patient,1
negative,first one broke in week they sent replacement and returned broken one and it still hasn processed return now new one broke weeks later would not recommend this mouse,29,2.0,first one broke week sent replacement returned broken one still processed return new one broke week later would recommend mouse,0
negative,i don typically write reviews but keep having this issue with tech products from amazon the mouse stopped working after months of use it charges and sometimes can get short term use out of it but it very glitchy and lags across the screen ,44,1.0,typically write review keep issue tech product amazon mouse stopped working month use charge sometimes get short term use glitchy lag across screen,0
neutral,i liked the wireless mouse however after months the roller on the mouse stopped working which leaves me not being able to scroll up or down on my pc ll have to look into buying more sturdy mouse ,38,1.0,liked wireless mouse however month roller mouse stopped working leaf able scroll pc look buying sturdy mouse,1
neutral,the wheel from the mouse not working anymore it only lasted for about months really nice mouse but doesn last ,20,3.0,wheel mouse working anymore lasted month really nice mouse last,1
negative,nothing but issues the scroll wheel broke for no reason at all no longer holds charge would not recommend ,19,1.0,nothing issue scroll wheel broke reason longer hold charge would recommend,0
neutral,wouldn recommend have been trying to charge it for days ,10,1.0,recommend trying charge day,1
neutral,i bought this in late june it looks cool with the lights and all it doesn give warning that the battery is low just stops working now it is doing all kinds of weird stuff clicking on items that you didn etc too late to return oh well not recommended ,50,1.0,bought late june look cool light give warning battery low stop working kind weird stuff clicking item etc late return oh well recommended,1
neutral,after few weeks the scroll wheel stopped working returning it ,10,2.0,week scroll wheel stopped working returning,1
neutral,this is the second time have ordered this mouse actually really like the mouse except for the fact that they keep breaking and have to order new one so for that reason am only going to give you two stars ordered this particular mouse only two months ago and it already broken should get my money back ,57,2.0,second time ordered mouse actually really like mouse except fact keep breaking order new one reason going give two star ordered particular mouse two month ago already broken get money back,1
positive,excellent for price ,3,5.0,excellent price,2
negative,disappointed in this mouse the wheel broke after months ,9,1.0,disappointed mouse wheel broke month,0
